time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-05-22T21:08:51.770Z,18.87166667,-64.97283333,30.5,3.38,md,14,247,0.5598,0.23,pr,pr71449868,2024-05-22T21:43:51.040Z,"58 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.91,8.92,0.102042935,9,reviewed,pr,pr
2024-05-22T21:00:32.912Z,-1.7542,151.7092,10,4.7,mb,61,99,4.35,0.94,us,us6000n0c5,2024-05-22T21:39:43.040Z,"136 km NE of Kavieng, Papua New Guinea",earthquake,9.79,1.797,0.069,64,reviewed,us,us
2024-05-22T19:36:04.396Z,-24.2667,-66.895,177.788,4.4,mb,78,54,2.608,0.68,us,us6000n0bm,2024-05-22T20:29:56.040Z,"58 km W of San Antonio de los Cobres, Argentina",earthquake,7.76,5.495,0.081,44,reviewed,us,us
2024-05-22T19:03:34.828Z,38.1627,72.9757,129.743,4.3,mb,63,55,1.602,0.94,us,us6000n0bi,2024-05-22T20:18:40.040Z,"86 km W of Murghob, Tajikistan",earthquake,7.14,7.148,0.092,33,reviewed,us,us
2024-05-22T17:33:49.100Z,19.29133333,-155.4535,8.52,3.39,ml,61,49,0.0606,0.18,hv,hv74244332,2024-05-22T21:26:01.524Z,"10 km NNE of Pāhala, Hawaii",earthquake,0.27,0.38,0.313992265,40,reviewed,hv,hv
2024-05-22T17:31:01.975Z,-5.4927,149.7262,225.569,4.3,mb,35,95,4.158,0.59,us,us6000n0b6,2024-05-22T18:54:38.040Z,"46 km W of Kimbe, Papua New Guinea",earthquake,11.1,7.476,0.099,29,reviewed,us,us
2024-05-22T16:38:53.924Z,-15.3896,-70.1981,233.278,4.5,mb,44,142,2.181,0.9,us,us6000n0av,2024-05-22T16:55:23.040Z,"8 km SSE of Calapuja, Peru",earthquake,11.27,9.39,0.076,51,reviewed,us,us
2024-05-22T15:44:56.789Z,-17.1701,-171.8796,10,5,mb,37,73,2.653,1.35,us,us6000n09y,2024-05-22T16:07:30.040Z,"244 km ESE of Hihifo, Tonga",earthquake,4.5,1.846,0.099,33,reviewed,us,us
2024-05-22T13:19:38.942Z,36.4044,71.0795,226.191,4.6,mb,135,38,2.464,0.67,us,us6000n099,2024-05-22T14:21:16.040Z,"51 km SW of Ashkāsham, Afghanistan",earthquake,6.39,5.866,0.039,197,reviewed,us,us
2024-05-22T12:46:11.554Z,-33.0714,-179.9502,112.184,4.4,mb,11,153,4.177,0.58,us,us6000n094,2024-05-22T13:02:15.040Z,south of the Kermadec Islands,earthquake,13.89,12.347,0.203,7,reviewed,us,us
2024-05-22T12:42:04.006Z,18.8065,145.4521,215.097,4.8,mb,116,74,3.56,0.61,us,us6000n092,2024-05-22T12:56:57.040Z,"Pagan region, Northern Mariana Islands",earthquake,9.54,7.473,0.056,97,reviewed,us,us
2024-05-22T10:32:58.090Z,37.41033173,-119.9911652,15.71000004,2.51,md,7,78,0.1972,0.17,nc,nc75010486,2024-05-22T21:16:51.736Z,"9 km SSW of Mariposa, CA",earthquake,0.77,1.30999994,0.24,6,automatic,nc,nc
2024-05-22T09:47:58.400Z,37.0115,-83.2885,12.54,2.74,md,16,97,0.2479,0.27,se,se60582551,2024-05-22T19:55:49.321Z,"18 km SSE of Hyden, Kentucky",earthquake,0.54,2.07,0.043740922,11,reviewed,se,se
2024-05-22T09:42:07.929Z,-19.8885,-177.8475,560.719,4.4,mb,57,41,2.786,0.72,us,us6000n08q,2024-05-22T10:28:36.040Z,Fiji region,earthquake,12.21,8.231,0.079,47,reviewed,us,us
2024-05-22T09:34:21.088Z,44.7628,10.1896,62.07,3,ml,26,62,0.697,0.59,us,us6000n08j,2024-05-22T10:25:11.405Z,"2 km WNW of Collecchio, Italy",earthquake,2.96,14.273,0.071,26,reviewed,us,us
2024-05-22T09:32:25.260Z,4.0679,122.5239,589.809,4.4,mb,31,93,3.414,0.55,us,us6000n08k,2024-05-22T10:20:46.040Z,"227 km SSE of Tabiauan, Philippines",earthquake,11.72,10.144,0.117,21,reviewed,us,us
2024-05-22T09:28:35.090Z,-6.3288,147.2464,67.916,4.5,mb,33,128,3.057,0.69,us,us6000n08i,2024-05-22T10:17:54.040Z,"51 km NNE of Lae, Papua New Guinea",earthquake,9.16,6.215,0.111,24,reviewed,us,us
2024-05-22T08:44:14.118Z,2.4816,-79.0522,10,4.7,mb,55,121,1.199,1.27,us,us6000n08a,2024-05-22T09:24:02.040Z,"65 km NW of Salahonda, Colombia",earthquake,4.44,1.897,0.082,45,reviewed,us,us
2024-05-22T08:00:40.995Z,23.7813,121.7657,10,5.1,mww,64,73,0.421,0.92,us,us6000n082,2024-05-22T13:59:58.511Z,"27 km SE of Hualien City, Taiwan",earthquake,2.29,1.878,0.08,15,reviewed,us,us
2024-05-22T05:49:14.048Z,0.2108,123.7043,137.073,5.4,mb,119,16,1.555,1.07,us,us6000n07e,2024-05-22T13:43:21.040Z,"80 km ESE of Gorontalo, Indonesia",earthquake,6.96,4.595,0.036,258,reviewed,us,us
2024-05-22T05:34:20.134Z,2.5224,-79.0295,10,5.2,mww,97,73,1.235,1.21,us,us6000n077,2024-05-22T06:27:44.040Z,"64 km W of Mosquera, Colombia",earthquake,6.5,1.801,0.071,19,reviewed,us,us
2024-05-22T05:27:05.165Z,2.5809,95.8911,25.44,4.6,mb,33,178,2.108,1.24,us,us6000n078,2024-05-22T06:56:06.040Z,"55 km WNW of Sinabang, Indonesia",earthquake,9.93,6.517,0.114,23,reviewed,us,us
2024-05-22T04:51:26.805Z,4.1774,-79.06,10,4.4,mb,22,140,2.873,0.68,us,us6000n073,2024-05-22T05:16:00.040Z,"188 km W of Santa Genoveva de Docordó, Colombia",earthquake,8.59,1.028,0.162,11,reviewed,us,us
2024-05-22T03:09:02.759Z,24.3491,122.6109,52.895,4.4,mb,26,61,0.383,0.76,us,us6000n06r,2024-05-22T03:58:12.040Z,"41 km WSW of Yonakuni, Japan",earthquake,2.6,5.779,0.139,15,reviewed,us,us
2024-05-22T01:23:47.660Z,18.9446,-65.058,8,3.78,md,21,244,0.599,0.38,pr,pr2024143000,2024-05-22T02:42:19.040Z,"68 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.12,4.71,0.06,17,reviewed,pr,pr
2024-05-21T20:46:22.426Z,37.3579,142.0078,42.874,4.3,mb,39,119,3.153,0.8,us,us6000n05q,2024-05-21T21:37:46.040Z,"87 km E of Tomioka, Japan",earthquake,8.91,4.396,0.097,30,reviewed,us,us
2024-05-21T20:24:50.522Z,73.4844,7.9388,10,4.1,mb,31,94,5.148,1.18,us,us6000n05j,2024-05-21T20:47:43.040Z,Greenland Sea,earthquake,7.76,1.934,0.145,13,reviewed,us,us
2024-05-21T19:55:34.660Z,31.674,-104.207,7.2278,2.7,ml,16,58,0,0.1,tx,tx2024jzdj,2024-05-22T16:33:20.040Z,"55 km NW of Toyah, Texas",earthquake,0.7769405913226716,1.1627367421983055,0.1,27,reviewed,tx,tx
2024-05-21T19:28:09.772Z,31.631,-104.492,5.7153,2.5,ml,14,74,0.1,0.1,tx,tx2024jzcm,2024-05-22T16:26:15.040Z,"61 km S of Whites City, New Mexico",earthquake,1.4977667107126278,1.6559149686344847,0.2,14,reviewed,tx,tx
2024-05-21T19:26:56.411Z,60.2265,-152.164,73.4,2.6,ml,,,,0.53,ak,ak0246j5s7l2,2024-05-21T19:46:17.040Z,"33 km NW of Ninilchik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2024-05-21T19:11:03.066Z,31.672,-104.194,6.2537,3,ml,30,70,0.1,0.1,tx,tx2024jzbx,2024-05-22T16:21:39.040Z,"54 km NW of Toyah, Texas",earthquake,0.6834585209082509,0.9271441871157066,0.1,22,reviewed,tx,tx
2024-05-21T17:20:46.610Z,35.9631667,-117.3868333,1.01,2.93,ml,32,54,0.2144,0.16,ci,ci40594887,2024-05-22T16:14:56.040Z,"22 km N of Searles Valley, CA",earthquake,0.23,0.77,0.143,132,reviewed,ci,ci
2024-05-21T15:29:38.767Z,46.3091,-111.2981,10.132,2.6,ml,31,73,0.341,0.6,us,us6000n01q,2024-05-22T05:07:27.570Z,"17 km E of Townsend, Montana",earthquake,2.32,7.457,0.043,72,reviewed,us,us
2024-05-21T14:37:30.410Z,19.74766667,-155.4308333,23.3,3.23,ml,60,76,0.03487,0.13,hv,hv74243217,2024-05-22T14:39:49.492Z,"33 km SSW of Pa‘auilo, Hawaii",earthquake,0.31,0.65,0.252000792,41,reviewed,hv,hv
2024-05-21T14:06:54.736Z,31.617,-104.513,6.8433,3.4,ml,37,70,0.1,0.2,tx,tx2024jyrw,2024-05-22T14:13:03.897Z,"63 km SSW of Whites City, New Mexico",earthquake,1.399525285,1.9110906144538846,0.2,31,reviewed,tx,tx
2024-05-21T13:29:30.117Z,67.8679,-160.8391,5.6,3,ml,,,,0.97,ak,ak0246j286zp,2024-05-21T16:57:05.040Z,"87 km ESE of Red Dog Mine, Alaska",earthquake,,289.8,,,automatic,ak,ak
2024-05-21T13:17:09.950Z,-5.5353,151.6892,76.55,4.1,mb,22,159,5.535,0.94,us,us6000n013,2024-05-22T14:54:51.040Z,"146 km SSW of Kokopo, Papua New Guinea",earthquake,12.56,8.416,0.15,15,reviewed,us,us
2024-05-21T12:58:23.944Z,-22.3668,170.3211,30.457,4.9,mb,34,126,2.67,0.68,us,us6000n00z,2024-05-21T13:19:09.040Z,"267 km ESE of Tadine, New Caledonia",earthquake,13.47,6.529,0.108,27,reviewed,us,us
2024-05-21T12:52:13.965Z,52.0051,-173.8588,61.8,3.9,ml,,,,0.4,ak,ak0246j1r3ce,2024-05-22T18:18:15.290Z,"31 km SE of Atka, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2024-05-21T12:44:59.260Z,18.80066667,-67.239,12.47,3.11,md,11,308,0.3529,0.15,pr,pr71449758,2024-05-21T13:54:23.710Z,"37 km NNW of San Antonio, Puerto Rico",earthquake,0.79,0.82,0.135452669,5,reviewed,pr,pr
2024-05-21T11:09:54.133Z,-54.9225,-129.9194,10,5.3,mb,57,72,29.816,1.11,us,us6000n00r,2024-05-21T11:29:11.040Z,Pacific-Antarctic Ridge,earthquake,5.96,1.848,0.05,137,reviewed,us,us
2024-05-21T09:58:18.701Z,6.8307,-76.5252,50.621,4.3,mb,32,155,1.176,0.76,us,us6000n00i,2024-05-21T14:28:44.320Z,"33 km WSW of Dabeiba, Colombia",earthquake,9.92,10.171,0.099,29,reviewed,us,us
2024-05-21T09:50:44.212Z,-12.0765,167.2386,261.886,5.3,mww,76,30,7.628,0.78,us,us6000n00g,2024-05-22T12:57:48.040Z,"201 km N of Sola, Vanuatu",earthquake,8.68,6.041,0.098,10,reviewed,us,us
2024-05-21T08:31:58.788Z,-2.2173,138.1846,31.333,5.4,mb,71,35,2.533,0.96,us,us6000n004,2024-05-22T08:37:55.763Z,"260 km ESE of Biak, Indonesia",earthquake,7.02,3.982,0.072,65,reviewed,us,us
2024-05-21T08:21:10.303Z,-21.9146,-68.5175,107.647,5.2,mb,79,32,1.079,1.73,us,us6000n003,2024-05-21T08:40:09.040Z,"73 km NE of Calama, Chile",earthquake,3.97,4.825,0.024,590,reviewed,us,us
2024-05-21T06:46:46.548Z,45.2581,148.2966,135.971,4.4,mb,90,171,4.209,0.63,us,us6000mzzt,2024-05-21T08:19:51.040Z,"33 km E of Kuril’sk, Russia",earthquake,11,9.282,0.048,129,reviewed,us,us
