"","Year","d18O"
"1",12,4.35
"2",13.5,5.07
"3",15.1,4.99
"4",17.1,4.82
"5",19.2,4.65
"6",20.9,4.8
"7",22.3,4.67
"8",23.8,4.59
"9",26.5,4.53
"10",29.6,4.45
"11",32.3,4.58
"12",34.6,4.45
"13",38.2,4.19
"14",42.5,4.23
"15",47.6,4.55
"16",52.5,4.66
"17",57.1,4.37
"18",64.1,3.96
"19",68.6,3.99
"20",72.2,3.89
"21",75.2,3.77
"22",78.3,4.04
"23",81,4.29
"24",83.9,4.07
"25",87.1,4.02
"26",90,3.81
"27",92.6,3.62
"28",96.6,3.97
"29",103.7,4
"30",108.4,3.69
"31",113.6,3.62
"32",119.3,3.19
"33",126.5,3.05
"34",130.5,3.84
"35",135.1,4.64
"36",142.5,4.89
"37",146.2,4.93
"38",147.7,4.97
"39",149,4.83
"40",150.5,4.74
"41",152.7,4.58
"42",155.3,4.59
"43",158.3,4.6
"44",161.4,4.38
"45",164.5,4.35
"46",167.4,4.3
"47",169.8,4.36
"48",172.2,4.5
"49",174.5,4.42
"50",176.7,4.52
"51",179,4.61
"52",183.8,4.33
"53",190.7,4.06
"54",198.4,3.73
"55",201,3.48
"56",203.3,3.69
"57",205.3,3.8
"58",207.2,3.63
"59",209,3.55
"60",210.8,3.56
"61",213.4,3.61
"62",217.2,3.53
"63",220,3.56
"64",222.8,4.67
"65",225.7,4.33
"66",228.7,3.99
"67",231.6,4.28
"68",234.5,3.64
"69",237.5,3.45
"70",240.4,3.4
"71",243,3.91
"72",248.9,4.4
"73",252.4,4.7
"74",255.2,4.7
"75",258.5,4.64
"76",261.2,4.44
"77",264.1,4.38
"78",266.3,4.47
"79",268.6,4.12
"80",270.6,4.39
"81",271.4,3.55
"82",273.8,4.14
"83",275.6,4.43
"84",277.7,4.29
"85",280.4,4.03
"86",282.7,3.86
"87",286.2,3.85
"88",290,3.99
"89",293.6,4.22
"90",298.4,4.25
"91",300.3,4.19
"92",305.2,3.9
"93",309.3,3.88
"94",314,3.57
"95",318.8,3.51
"96",322.8,3.09
"97",326.7,2.93
"98",330.4,3.24
"99",333.6,3.53
"100",338.1,3.81
"101",340.2,4.77
"102",344.9,4.52
"103",348.1,4.4
"104",350.9,4.71
"105",353.4,4.37
"106",355.9,4.12
"107",358.5,4.44
"108",362.2,4.39
"109",363.6,4.39
"110",364.9,4.27
"111",367.5,4.34
"112",369.1,4.22
"113",373.1,4.25
"114",376.3,4.2
"115",380.7,3.96
"116",385.1,3.88
"117",389,3.78
"118",392.2,3.74
"119",395.4,3.56
"120",396.9,3.41
"121",398.6,3.29
"122",403.2,3.04
"123",404.9,2.81
"124",409.3,3.18
"125",412.7,3.33
"126",416.6,3.67
"127",419.8,3.64
"128",422.9,3.63
"129",424.3,3.81
"130",425.8,4.77
"131",428.6,4.74
"132",430,4.82
"133",431.5,4.96
"134",437.1,4.7
"135",439.9,4.45
"136",442.3,4.76
"137",445.6,4.68
"138",450.4,4.69
"139",455.7,4.63
"140",465.7,4.27
